2	3	6
5	3	1
6	3	2
4	2	1
9	4	2
10
33
R	5	N	1	15	110	A
R	6	N	2	15	110	A
R	7	N	3	15	110	A
R	8	N	4	15	110	A
R	9	N	5	15	110	A
R	10	N	6	15	110	A
R	11	N	7	15	110	A
P       12	7	10
R	13	N	8	15	110	A
R	14	V	9	15	110	A
R	15	N	10	7	56	B
R	16	V	11	21	300	B
R	17	V	12	21	300	B
R	18	V	13	21	300	B
R	19	N	14	15	110	C
R	20	N	15	15	110	C
R	21	N	16	15	110	C
R	22	N	17	15	110	C
R	23	N	18	17	95	D
R	24	F	19	33	127	D
R	25	N	20	17	95	D
R	26	N	21	17	95	D
R	27	F	22	33	127	D
R	27	V	23	17	95	A
R	28	V	24	17	95	C
R	29	V	25	17	95	C
R	30	V	26	17	95	C
R	31	N	27	17	95	C
R	32	N	28	17	95	C
R	33	N	29	10	95	C
R	34	N	30	17	95	C
R	35	N	31	5	10	C
R	36	N	32	17	950	C
